Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Cluster,Age Bracket,Hierarchical Cluster,Risk Score,Risk Category
67,male,2,1,unknown,little,1169,6,5,2,50+,3,6.359696641386782,Low Risk
22,female,2,1,little,moderate,5951,48,5,0,<30,2,32.432286023835324,Low Risk
49,male,1,1,little,unknown,2096,12,3,2,30-50,4,11.404387865655472,Low Risk
45,male,2,0,little,little,7882,42,4,0,30-50,2,42.86836403033586,Low Risk
53,male,2,0,little,little,4870,24,1,2,50+,3,26.478873239436616,Low Risk
35,male,1,0,unknown,unknown,9055,36,3,0,30-50,1,49.20232936078006,Low Risk
53,male,2,1,quite rich,unknown,2835,24,4,2,50+,3,15.456392199349944,Low Risk
35,male,3,2,little,moderate,6948,36,1,0,30-50,2,37.78439869989166,Low Risk
61,male,1,1,rich,unknown,3059,12,5,2,50+,3,16.62107258938245,Low Risk
28,male,3,1,little,moderate,5234,30,1,0,<30,1,28.475081256771396,Low Risk
25,female,2,2,little,moderate,1295,12,1,3,<30,4,7.063921993499458,Low Risk
24,female,2,2,little,little,4308,48,0,0,<30,1,23.53196099674973,Low Risk
22,female,2,1,little,moderate,1567,12,5,3,<30,4,8.537378114842904,Low Risk
60,male,1,1,little,little,1199,24,1,2,50+,3,6.592632719393284,Low Risk
28,female,2,2,little,little,1403,15,1,3,<30,4,7.66115926327194,Low Risk
32,female,1,1,moderate,little,1282,24,5,3,30-50,4,7.042253521126762,Low Risk
53,male,2,1,unknown,unknown,2424,24,5,2,50+,3,13.232665222101843,Low Risk
25,male,2,1,unknown,little,8072,30,0,0,<30,1,43.851570964247024,Low Risk
44,female,3,0,little,moderate,12579,24,1,0,30-50,2,68.2394366197183,Medium Risk
31,male,2,1,quite rich,unknown,3430,24,5,1,30-50,4,18.679577464788732,Low Risk
48,male,2,1,little,unknown,2134,9,1,2,30-50,3,11.598049837486458,Low Risk
44,male,2,2,quite rich,little,2647,6,5,2,30-50,4,14.363488624052003,Low Risk
48,male,1,2,little,little,2241,10,1,2,30-50,4,12.180390032502709,Low Risk
44,male,2,1,moderate,moderate,1804,12,1,2,30-50,4,9.821235102925243,Low Risk
26,male,2,1,unknown,unknown,2069,10,4,3,<30,4,11.252708559046589,Low Risk
36,male,1,1,little,little,1374,6,4,3,30-50,4,7.467497291440953,Low Risk
39,male,1,1,little,unknown,426,6,5,3,30-50,4,2.3334236186348867,Low Risk
42,female,2,2,rich,rich,409,12,5,2,30-50,4,2.2643553629469126,Low Risk
34,male,2,1,little,moderate,2415,7,5,3,30-50,4,13.110780065005418,Low Risk
63,male,2,1,little,little,6836,60,0,0,50+,2,37.27518959913326,Low Risk
36,male,2,1,rich,moderate,1913,18,0,1,30-50,4,10.436078006500543,Low Risk
27,male,2,1,little,little,4020,24,4,1,<30,4,21.874322860238355,Low Risk
30,male,2,1,moderate,moderate,5866,18,1,1,<30,1,31.84994582881907,Low Risk
57,male,1,2,unknown,unknown,1264,12,0,2,50+,3,6.900054171180932,Low Risk
33,female,3,1,little,rich,1474,12,4,1,30-50,4,8.033586132177682,Low Risk
25,male,1,1,little,moderate,4746,45,5,1,<30,1,25.892470205850486,Low Risk
31,male,2,0,little,unknown,6110,48,3,0,30-50,2,33.29496208017335,Low Risk
37,male,2,1,little,rich,2100,18,5,1,30-50,4,11.44907908992416,Low Risk
37,male,2,1,little,rich,1225,10,2,3,30-50,4,6.6765980498374855,Low Risk
24,male,2,1,little,moderate,458,9,5,3,<30,4,2.517605633802817,Low Risk
30,male,3,1,quite rich,unknown,2333,30,5,1,<30,1,12.761375947995667,Low Risk
26,male,2,1,quite rich,moderate,1158,12,5,3,<30,4,6.321776814734561,Low Risk
44,male,1,1,little,moderate,6204,18,6,2,30-50,3,33.68093174431203,Low Risk
24,male,2,2,moderate,little,6187,30,1,1,<30,1,33.637594799566635,Low Risk
58,female,1,0,little,little,6143,48,1,0,50+,2,33.472372697724815,Low Risk
35,female,3,1,little,unknown,1393,11,1,1,30-50,4,7.592091007583966,Low Risk
39,male,2,1,quite rich,unknown,2299,36,5,1,30-50,3,12.601570964247022,Low Risk
23,female,0,2,quite rich,little,1352,6,1,3,<30,4,7.348320693391116,Low Risk
39,male,1,1,little,unknown,7228,11,1,1,30-50,4,39.20097508125678,Low Risk
28,female,2,1,moderate,unknown,2073,12,5,3,<30,4,11.27979414951246,Low Risk
29,male,1,1,unknown,moderate,2333,24,4,3,<30,4,12.738353196099677,Low Risk
30,male,3,1,little,moderate,5965,27,1,0,<30,1,32.42280606717226,Low Risk
25,male,2,1,little,unknown,1262,12,5,3,<30,4,6.886511375947997,Low Risk
31,male,2,1,unknown,unknown,3378,18,1,1,30-50,4,18.376218851570965,Low Risk
57,male,2,0,little,moderate,2225,36,1,2,50+,3,12.19934994582882,Low Risk
26,male,1,1,unknown,unknown,783,6,1,3,<30,4,4.270043336944746,Low Risk
52,male,3,1,unknown,moderate,6468,12,5,2,50+,3,35.08938244853738,Low Risk
31,female,2,1,little,unknown,9566,36,5,0,30-50,2,51.967768147345616,Medium Risk
23,female,3,1,little,rich,1961,18,1,1,<30,4,10.696099674972915,Low Risk
23,female,1,2,little,little,6229,36,4,1,<30,1,33.88949079089925,Low Risk
27,male,2,1,little,moderate,1391,9,0,3,<30,4,7.571776814734561,Low Risk
50,male,2,1,unknown,moderate,1537,15,5,2,30-50,3,8.389761646803901,Low Risk
61,male,3,0,little,moderate,1953,36,0,2,50+,3,10.725893824485373,Low Risk
25,male,2,1,little,moderate,14421,48,0,0,<30,2,78.31527627302275,High Risk
26,female,2,1,little,unknown,3181,24,5,1,<30,4,17.3307150595883,Low Risk
48,male,2,1,unknown,unknown,5190,27,6,2,30-50,3,28.22860238353196,Low Risk
29,female,2,1,little,unknown,2171,12,5,3,<30,4,11.810671722643555,Low Risk
22,male,2,1,rich,moderate,1007,12,1,3,<30,4,5.503791982665223,Low Risk
37,male,2,0,little,unknown,1819,36,3,1,30-50,1,10.001354279523293,Low Risk
25,female,2,1,unknown,unknown,2394,36,5,1,<30,1,13.118905742145179,Low Risk
30,female,2,1,little,unknown,8133,36,1,0,<30,2,44.20503791982666,Low Risk
46,male,1,2,unknown,unknown,730,7,5,2,30-50,4,3.986998916576382,Low Risk
51,male,3,0,little,little,1164,8,7,2,50+,3,6.338028169014084,Low Risk
41,female,1,1,little,moderate,5954,42,0,1,30-50,2,32.42416034669556,Low Risk
40,male,3,1,unknown,little,1977,36,3,1,30-50,2,10.858613217768148,Low Risk
66,male,3,0,little,little,1526,12,1,2,50+,3,8.315276273022752,Low Risk
34,male,2,1,little,little,3965,42,5,1,30-50,1,21.649512459371614,Low Risk
